TYPE;CHARACTER;AMOUNT
Regular;T-Rex;200
Regular;Triceratops;200
Regular;Dilophosaurus;200
Regular;Stegosaurus;200
Regular;Velociraptor;200
Regular;Mammoth;300
Regular;Sabretooth Tiger;300
Regular;Gorilla;300
Regular;Hippo;300
Holographic;T-Rex;5
Holographic;Triceratops;5
Holographic;Dilophosaurus;5
Holographic;Stegosaurus;5
Holographic;Velociraptor;5
Holographic;Mammoth;12
Holographic;Sabretooth Tiger;12
Holographic;Gorilla;12
Holographic;Hippo;12
Reverse Holo;T-Rex Naked;1
Reverse Holo;T-Rex;2
Reverse Holo;Triceratops;2
Reverse Holo;Dilophosaurus;2
Reverse Holo;Stegosaurus;2
Reverse Holo;Velociraptor;2
Reverse Holo;Mammoth;4
Reverse Holo;Sabretooth Tiger;4
Reverse Holo;Gorilla;4
Reverse Holo;Hippo;4
Rose Gold;T-Rex Naked;2
Rose Gold;T-Rex;5
Rose Gold;Triceratops;5
Rose Gold;Dilophosaurus;5
Rose Gold;Stegosaurus;5
Rose Gold;Velociraptor;5
Rose Gold;Mammoth;10
Rose Gold;Sabretooth Tiger;10
Rose Gold;Gorilla;10
Rose Gold;Hippo;10
Gold;T-Rex Naked;3
Gold;T-Rex;10
Gold;Triceratops;10
Gold;Dilophosaurus;10
Gold;Stegosaurus;10
Gold;Velociraptor;10
Gold;Mammoth;20
Gold;Sabretooth Tiger;20
Gold;Gorilla;20
Gold;Hippo;20
Silver;T-Rex Naked;4
Silver;T-Rex;15
Silver;Triceratops;15
Silver;Dilophosaurus;15
Silver;Stegosaurus;15
Silver;Velociraptor;15
Silver;Mammoth;25
Silver;Sabretooth Tiger;25
Silver;Gorilla;25
Silver;Hippo;25
Bronze;T-Rex Naked;10
Bronze;T-Rex;50
Bronze;Triceratops;50
Bronze;Dilophosaurus;50
Bronze;Stegosaurus;50
Bronze;Velociraptor;50
Bronze;Mammoth;100
Bronze;Sabretooth Tiger;100
Bronze;Gorilla;100
Bronze;Hippo;100
Rainbow;T-Rex Naked;1
Rainbow;T-Rex;2
Rainbow;Triceratops;2
Rainbow;Dilophosaurus;2
Rainbow;Stegosaurus;2
Rainbow;Velociraptor;2
Rainbow;Mammoth;5
Rainbow;Sabretooth Tiger;5
Rainbow;Gorilla;5
Rainbow;Hippo;5
8-Bit;T-Rex;150
8-Bit;Triceratops;150
8-Bit;Dilophosaurus;150
8-Bit;Stegosaurus;150
8-Bit;Velociraptor;150
8-Bit;Mammoth;195
8-Bit;Sabretooth Tiger;195
8-Bit;Gorilla;195
8-Bit;Hippo;195
8-Bit;Select Player 1;20
8-Bit;Select Player 2;20
8-Bit;Select Player 3;20
8-Bit;Select Player 4;20
8-Bit;Select Player 5;20
